# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
a 	工	c=54 d=1.59196 t=17504
aa 	式	c=13 d=1.00027 t=16714
ab 	节	c=26 d=2.04075 t=5913
abu 	萨	c=2 d=1.90937 t=9334
ad 	基	c=36 d=1.95123 t=17605
adhb 	荐	c=1 d=1 t=950
adm 	项	c=259 d=3.56763 t=16876
admh 	藉由	c=1 d=1 t=4142
adnt 	藏	c=2 d=1.97045 t=5175
adw 	其	c=27 d=2.6113 t=17647
adwe 	期	c=11 d=1 t=17489
adwr 	斯	c=2 d=1.90484 t=9339
ae 	菜	c=1 d=1 t=15959
aes 	菜	c=3 d=1 t=15966
afd 	甘	c=3 d=2.95556 t=6934
afs 	某	c=3 d=2.87045 t=1466
ag 	七	c=5 d=1.00014 t=15775
agnn 	巧	c=1 d=1 t=1665
ah 	牙	c=1 d=1 t=8859
ahtb 	邪	c=1 d=1 t=12708
ahty 	雅	c=1 d=1 t=811
ai 	东	c=3 d=1.8117 t=12657
aib 	范	c=6 d=1.00003 t=11090
ait 	落	c=1 d=1 t=17556
ajh 	划	c=12 d=1 t=14189
ak 	或	c=14 d=2.5358 t=13883
al 	功	c=19 d=1 t=15223
alf 	苗	c=2 d=1.956 t=7191
alkf 	茄	c=1 d=1 t=6588
am 	贡	c=1 d=1 t=13754
amd 	英	c=4 d=1.01089 t=14452
an 	世	c=2 d=1 t=15910
anu 	芯	c=1 d=1 t=14039
apk 	营	c=1 d=1 t=9991
apkk 	营	c=16 d=1.1678 t=17620
aq 	区	c=11 d=1.7155 t=13243
aqk 	敬	c=7 d=4.162 t=8241
aqkr 	擎	c=4 d=2.14635 t=4380
aqt 	获	c=11 d=1 t=10298
at 	攻	c=1 d=1 t=11891
atd 	医	c=65 d=2.54417 t=16488
ato 	蕃	c=1 d=1 t=6587
av 	切	c=6 d=1.00282 t=16267
aw 	共	c=35 d=1.43066 t=17270
axq 	药	c=1 d=1 t=11856
b 	了	c=85 d=1.28907 t=17726
ba 	陈	c=1 d=1 t=13312
bai 	陈	c=6 d=1.19891 t=13954
bb 	子	c=16 d=1.72305 t=16059
bc 	取	c=9 d=1 t=15243
bd 	承	c=1 d=1 t=7705
bde 	随	c=10 d=1.99005 t=17308
be 	阴	c=1 d=1 t=12705
bfi 	际	c=3 d=1.96561 t=17684
bfm 	陆	c=9 d=1.31037 t=17083
bfpl 	陆军	c=1 d=1 t=2390
bfq 	阮	c=1 d=1 t=982
bh 	耻	c=1 d=1 t=10865
bi 	孙	c=1 d=1 t=8955
bj 	阳	c=14 d=4.62544 t=17698
bk 	职	c=3 d=1 t=5292
bkqr 	陨铁	c=1 d=1 t=5291
bkw 	职	c=36 d=3.27308 t=15522
bl 	阵	c=1 d=1 t=10334
bm 	出	c=66 d=2.60591 t=17134
bn 	也	c=22 d=4.45888 t=16444
bp 	辽	c=1 d=1 t=7335
bpf 	院	c=10 d=1 t=16612
bpfq 	院	c=2 d=1 t=5531
btg 	隆	c=1 d=1 t=14440
bu 	联	c=14 d=1 t=17338
bv 	限	c=11 d=1.00734 t=12244
bwf 	附	c=1 d=1 t=1043
bwg 	险	c=3 d=1.18466 t=10145
bwj 	阶	c=6 d=1 t=17518
bwt 	除	c=4 d=1.33121 t=14491
by 	防	c=1 d=1 t=144
c 	以	c=76 d=2.0161 t=17768
cawo 	鴘	c=1 d=1 t=12131
cb 	邓	c=1 d=1 t=9896
cbd 	预	c=5 d=1 t=17436
cc 	双	c=1 d=1 t=16799
ccc 	又	c=1 d=1 t=6981
cccc 	又	c=1 d=1 t=8339
cccs 	桑	c=7 d=1.32792 t=17080
cd 	参	c=3 d=1 t=16900
ce 	能	c=71 d=2.81704 t=16976
ceg 	驵	c=1 d=1 t=13478
cep 	通	c=37 d=2.5274 t=15163
cf 	对	c=32 d=1.05066 t=17097
cgal 	驑	c=1 d=1 t=6856
ck 	台	c=105 d=3.41128 t=17780
cm 	观	c=13 d=1.04642 t=17515
cn 	马	c=2 d=1.91393 t=16577
cp 	驼	c=1 d=1 t=12017
cqw 	欢	c=3 d=1.36915 t=3088
cw 	难	c=3 d=1 t=16346
cwg 	验	c=4 d=1 t=12664
cwy 	难	c=1 d=1 t=8388
cyna 	骗	c=4 d=1.72305 t=16058
d 	在	c=94 d=1.52582 t=17785
dbm 	础	c=21 d=1.95123 t=17606
dcg 	码	c=11 d=1 t=16443
dd 	大	c=29 d=1.96896 t=17359
ddd 	磊	c=1 d=1 t=12065
ddu 	套	c=3 d=1.25011 t=8800
df 	夺	c=1 d=1 t=342
dfy 	压	c=3 d=1.92792 t=8951
dg 	三	c=25 d=1.00001 t=16911
dga 	研	c=10 d=1.84366 t=17087
dgh 	古	c=1 d=1 t=7213
dghg 	古	c=1 d=1 t=7197
dgjq 	硬	c=3 d=1 t=16917
dgkn 	感	c=3 d=1.00174 t=13250
dgt 	厂	c=2 d=1 t=17522
dgtg 	石	c=1 d=1 t=17185
dgv 	威	c=1 d=1 t=9873
dh 	丰	c=1 d=1 t=6894
dhb 	存	c=27 d=1.00014 t=16808
dhc 	破	c=1 d=1 t=11651
dhd 	慧	c=1 d=1 t=12064
dhq 	艳	c=7 d=1.40252 t=17048
dhv 	契	c=1 d=1 t=8405
dirf 	砂质	c=1 d=1 t=4305
dj 	百	c=3 d=1 t=17689
djd 	非	c=9 d=1.00043 t=14413
djdn 	悲	c=2 d=1.99501 t=13227
djfd 	厘	c=3 d=2.81701 t=17202
dk 	右	c=1 d=1 t=17055
dl 	历	c=11 d=1.03615 t=16553
dm 	面	c=29 d=1.04132 t=17372
dmb 	冇	c=1 d=1 t=1987
dmh 	布	c=7 d=1 t=16929
dmj 	而	c=21 d=1 t=17643
dmu 	页	c=12 d=1.97045 t=17035
dn 	成	c=61 d=1.88933 t=17571
dnv 	尤	c=2 d=1.00106 t=12483
dp 	达	c=5 d=2.82528 t=17464
dq 	克	c=1 d=1 t=14439
dqe 	确	c=12 d=1.00586 t=17493
dr 	原	c=20 d=1.02954 t=16457
dt 	帮	c=2 d=1 t=16391
dty 	故	c=3 d=1.5627 t=7995
du 	磁	c=3 d=1 t=7148
dy 	太	c=3 d=1.18177 t=16647
dyn 	态	c=6 d=1.0098 t=16960
dyw 	碎	c=1 d=1 t=13048
e 	有	c=97 d=2.33571 t=17735
eaj 	腊	c=2 d=1.92312 t=7215
